question,answer
Apa nama ibu kota Indonesia?,Jakarta
Siapa presiden Indonesia saat ini?,Joko Widodo
Apa bahasa resmi Indonesia?,Bahasa Indonesia
Berapa jumlah provinsi di Indonesia?,38
Apa mata uang Indonesia?,Rupiah
Gunung tertinggi di Indonesia?,Puncak Jaya
Pulau terbesar di Indonesia?,Kalimantan
Apa hari kemerdekaan Indonesia?,17 Agustus 1945
Apa lagu kebangsaan Indonesia?,Indonesia Raya
Siapa proklamator kemerdekaan Indonesia?,Soekarno dan Mohammad Hatta
Apa semboyan negara Indonesia?,Bhinneka Tunggal Ika
Apa ibu kota Jawa Barat?,Bandung
Apa ibu kota Jawa Timur?,Surabaya
Apa makanan khas Padang yang terkenal?,Rendang
Apa candi terbesar di Indonesia?,Candi Borobudur
Apa tarian tradisional Bali yang terkenal?,Tari Kecak
Apa senjata tradisional Bugis-Makassar?,Badik
Apa nama laut yang berada di utara Pulau Jawa?,Laut Jawa
Apa nama bandara internasional di Jakarta?,Soekarno-Hatta International Airport
Apa nama maskapai penerbangan nasional Indonesia?,Garuda Indonesia
